sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[  10s] threads: 112, tps: 1545.39, reads: 21736.05, writes: 4642.37, response time: 100.45ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 112, tps: 1520.90, reads: 21291.67, writes: 4561.89, response time: 108.33ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 112, tps: 1446.70, reads: 20255.83, writes: 4338.71, response time: 115.01ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 112, tps: 1347.50, reads: 18872.10, writes: 4043.30, response time: 131.59ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 112, tps: 1208.00, reads: 16901.93, writes: 3624.59, response time: 151.52ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 112, tps: 894.70, reads: 12521.84, writes: 2682.91, response time: 225.48ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 112, tps: 881.70, reads: 12342.78, writes: 2644.50, response time: 216.29ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 112, tps: 941.40, reads: 13187.70, writes: 2825.20, response time: 166.95ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 112, tps: 1225.50, reads: 17162.54, writes: 3676.91, response time: 141.31ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 112, tps: 1323.70, reads: 18526.30, writes: 3971.30, response time: 121.27ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 112, tps: 1295.70, reads: 18137.71, writes: 3886.70, response time: 130.14ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 112, tps: 1208.40, reads: 16925.26, writes: 3627.59, response time: 146.83ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 112, tps: 1155.30, reads: 16160.00, writes: 3463.70, response time: 159.95ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 112, tps: 1173.60, reads: 16429.58, writes: 3520.40, response time: 154.36ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 112, tps: 962.20, reads: 13482.20, writes: 2887.20, response time: 216.29ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 112, tps: 890.20, reads: 12459.11, writes: 2669.40, response time: 217.78ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 112, tps: 978.90, reads: 13714.25, writes: 2938.51, response time: 163.49ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 112, tps: 1212.00, reads: 16944.85, writes: 3633.19, response time: 149.40ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 112, tps: 1331.90, reads: 18659.86, writes: 3997.71, response time: 124.76ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 112, tps: 1313.00, reads: 18382.06, writes: 3939.89, response time: 136.32ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 112, tps: 1192.50, reads: 16702.52, writes: 3578.20, response time: 168.05ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 112, tps: 1146.80, reads: 16045.11, writes: 3439.00, response time: 185.33ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 112, tps: 1193.80, reads: 16713.50, writes: 3580.80, response time: 158.14ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 112, tps: 920.50, reads: 12892.15, writes: 2762.69, response time: 239.32ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 112, tps: 804.20, reads: 11248.61, writes: 2411.20, response time: 288.03ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 112, tps: 887.80, reads: 12435.58, writes: 2664.60, response time: 214.42ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 112, tps: 1148.30, reads: 16068.57, writes: 3443.31, response time: 163.78ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 112, tps: 1346.89, reads: 18869.72, writes: 4044.28, response time: 122.03ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 112, tps: 1318.90, reads: 18464.73, writes: 3954.21, response time: 130.96ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 112, tps: 1208.40, reads: 16917.68, writes: 3625.69, response time: 167.10ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 112, tps: 1163.80, reads: 16287.82, writes: 3491.40, response time: 181.44ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 112, tps: 1190.70, reads: 16674.80, writes: 3571.50, response time: 166.25ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 112, tps: 1034.90, reads: 14486.00, writes: 3104.70, response time: 177.83ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 112, tps: 897.00, reads: 12554.83, writes: 2691.21, response time: 222.99ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 112, tps: 986.60, reads: 13819.99, writes: 2961.20, response time: 183.84ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 112, tps: 1057.00, reads: 14800.71, writes: 3171.00, response time: 160.43ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 112, tps: 1350.20, reads: 18880.64, writes: 4047.99, response time: 122.14ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 112, tps: 1334.70, reads: 18699.51, writes: 4005.70, response time: 126.99ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 112, tps: 1286.50, reads: 18016.05, writes: 3860.51, response time: 144.00ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 112, tps: 1180.90, reads: 16533.50, writes: 3542.10, response time: 166.25ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 112, tps: 1222.90, reads: 17121.96, writes: 3668.29, response time: 159.00ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 112, tps: 1174.80, reads: 16442.84, writes: 3523.61, response time: 153.20ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 112, tps: 902.50, reads: 12637.27, writes: 2707.69, response time: 233.30ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 112, tps: 892.10, reads: 12481.89, writes: 2676.30, response time: 207.72ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 112, tps: 974.60, reads: 13638.20, writes: 2923.00, response time: 161.01ms (95%), errors: 0.00, reconnects:  0.00
