sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[  10s] threads: 112, tps: 1551.48, reads: 21830.65, writes: 4660.85, response time: 105.64ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 112, tps: 1511.30, reads: 21154.03, writes: 4534.11, response time: 106.84ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 112, tps: 1414.20, reads: 19805.07, writes: 4243.99, response time: 118.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 112, tps: 1315.51, reads: 18412.78, writes: 3945.32, response time: 134.98ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 112, tps: 1175.60, reads: 16454.96, writes: 3524.99, response time: 157.91ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 112, tps: 1057.90, reads: 14808.12, writes: 3175.30, response time: 173.21ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 112, tps: 1054.30, reads: 14754.25, writes: 3161.09, response time: 168.91ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 112, tps: 1122.50, reads: 15717.34, writes: 3367.51, response time: 154.49ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 112, tps: 1114.10, reads: 15594.69, writes: 3343.10, response time: 150.12ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 112, tps: 1155.30, reads: 16181.72, writes: 3466.50, response time: 147.53ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 112, tps: 1105.80, reads: 15477.75, writes: 3316.19, response time: 159.24ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 112, tps: 1155.30, reads: 16171.75, writes: 3466.31, response time: 149.27ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 112, tps: 1134.20, reads: 15875.44, writes: 3402.59, response time: 147.09ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 112, tps: 1177.30, reads: 16483.76, writes: 3530.51, response time: 145.82ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 112, tps: 1127.30, reads: 15789.05, writes: 3383.09, response time: 154.12ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 112, tps: 1161.70, reads: 16266.15, writes: 3485.11, response time: 149.00ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 112, tps: 1162.00, reads: 16267.23, writes: 3485.79, response time: 149.40ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 112, tps: 1161.50, reads: 16259.37, writes: 3485.91, response time: 151.38ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 112, tps: 1187.50, reads: 16613.05, writes: 3559.89, response time: 149.49ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 112, tps: 1166.40, reads: 16345.25, writes: 3500.61, response time: 153.80ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 112, tps: 1156.70, reads: 16193.85, writes: 3469.69, response time: 156.92ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 112, tps: 1181.30, reads: 16536.94, writes: 3544.51, response time: 150.84ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 112, tps: 1200.40, reads: 16791.17, writes: 3598.99, response time: 148.95ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 112, tps: 1160.00, reads: 16255.14, writes: 3483.41, response time: 154.82ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 112, tps: 1180.40, reads: 16521.27, writes: 3539.59, response time: 151.25ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 112, tps: 1158.30, reads: 16217.06, writes: 3474.71, response time: 157.15ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 112, tps: 1153.00, reads: 16140.44, writes: 3459.19, response time: 158.10ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 112, tps: 1172.80, reads: 16419.86, writes: 3519.01, response time: 152.43ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 112, tps: 1171.90, reads: 16407.66, writes: 3515.89, response time: 148.51ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 112, tps: 1166.00, reads: 16326.34, writes: 3496.61, response time: 153.80ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 112, tps: 1171.30, reads: 16395.06, writes: 3516.29, response time: 154.68ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 112, tps: 1163.30, reads: 16282.22, writes: 3487.90, response time: 151.61ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 112, tps: 1182.40, reads: 16548.42, writes: 3546.60, response time: 155.10ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 112, tps: 1135.50, reads: 15907.10, writes: 3407.30, response time: 156.45ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 112, tps: 1190.40, reads: 16662.14, writes: 3571.39, response time: 150.88ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 112, tps: 1177.50, reads: 16474.66, writes: 3532.31, response time: 153.71ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 112, tps: 1159.30, reads: 16251.87, writes: 3478.49, response time: 155.00ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 112, tps: 1208.20, reads: 16910.61, writes: 3624.20, response time: 146.13ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 112, tps: 1203.80, reads: 16846.81, writes: 3611.20, response time: 151.88ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 112, tps: 1164.90, reads: 16304.31, writes: 3494.90, response time: 155.42ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 112, tps: 1150.30, reads: 16113.49, writes: 3450.70, response time: 162.71ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 112, tps: 1115.00, reads: 15596.10, writes: 3343.80, response time: 161.78ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 112, tps: 1159.70, reads: 16252.60, writes: 3481.50, response time: 156.78ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 112, tps: 1203.20, reads: 16837.41, writes: 3608.20, response time: 147.40ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 112, tps: 1211.10, reads: 16952.95, writes: 3633.09, response time: 144.30ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 1192.40, reads: 16692.63, writes: 3577.41, response time: 150.70ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 1193.00, reads: 16710.22, writes: 3579.40, response time: 147.27ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 1187.50, reads: 16624.38, writes: 3563.10, response time: 157.48ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 1184.20, reads: 16568.40, writes: 3549.80, response time: 151.79ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 1178.60, reads: 16506.82, writes: 3538.40, response time: 153.62ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 1126.30, reads: 15765.16, writes: 3378.49, response time: 159.67ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 1151.20, reads: 16119.12, writes: 3453.20, response time: 155.98ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 1150.50, reads: 16107.51, writes: 3452.30, response time: 160.67ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 1164.90, reads: 16304.28, writes: 3492.70, response time: 153.34ms (95%), errors: 0.00, reconnects:  0.00
