sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[  10s] threads: 112, tps: 6188.76, reads: 86762.55, writes: 18573.88, response time: 27.48ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 112, tps: 6308.98, reads: 88308.87, writes: 18923.55, response time: 26.55ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 112, tps: 6357.42, reads: 88998.46, writes: 19070.66, response time: 26.34ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 112, tps: 6382.18, reads: 89344.44, writes: 19146.14, response time: 26.15ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 112, tps: 6398.72, reads: 89583.72, writes: 19196.55, response time: 26.13ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 112, tps: 6416.18, reads: 89835.88, writes: 19249.95, response time: 26.19ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 112, tps: 6418.31, reads: 89856.59, writes: 19253.52, response time: 25.96ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 112, tps: 6414.42, reads: 89798.23, writes: 19244.07, response time: 26.01ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 112, tps: 6426.46, reads: 89969.35, writes: 19278.78, response time: 25.82ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 112, tps: 6440.90, reads: 90174.99, writes: 19322.70, response time: 25.88ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 112, tps: 6416.00, reads: 89822.54, writes: 19248.21, response time: 25.99ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 112, tps: 6417.54, reads: 89855.51, writes: 19254.41, response time: 26.04ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 112, tps: 6441.68, reads: 90180.88, writes: 19323.63, response time: 26.01ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 112, tps: 6436.79, reads: 90103.21, writes: 19310.58, response time: 26.07ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 112, tps: 6423.51, reads: 89936.88, writes: 19270.12, response time: 26.14ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 112, tps: 6440.00, reads: 90151.70, writes: 19319.40, response time: 26.04ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 112, tps: 6446.00, reads: 90254.39, writes: 19338.20, response time: 25.99ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 112, tps: 6431.59, reads: 90041.81, writes: 19294.78, response time: 26.06ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 112, tps: 6415.61, reads: 89821.08, writes: 19249.62, response time: 26.01ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 112, tps: 6423.20, reads: 89921.13, writes: 19266.99, response time: 25.97ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 112, tps: 6417.30, reads: 89839.43, writes: 19253.09, response time: 25.96ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 112, tps: 4855.81, reads: 67982.91, writes: 14566.42, response time: 41.25ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 112, tps: 6151.40, reads: 86117.21, writes: 18454.00, response time: 27.91ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 112, tps: 6399.60, reads: 89592.99, writes: 19200.40, response time: 26.08ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 112, tps: 6413.40, reads: 89787.95, writes: 19238.01, response time: 26.20ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 112, tps: 6428.88, reads: 90004.05, writes: 19285.83, response time: 26.18ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 112, tps: 6415.92, reads: 89821.11, writes: 19247.97, response time: 26.21ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 112, tps: 6417.89, reads: 89851.08, writes: 19254.07, response time: 26.20ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 112, tps: 6418.61, reads: 89860.83, writes: 19256.03, response time: 26.21ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 112, tps: 6410.49, reads: 89756.01, writes: 19232.78, response time: 26.17ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 112, tps: 6402.59, reads: 89628.57, writes: 19206.27, response time: 26.03ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 112, tps: 6082.30, reads: 85149.67, writes: 18247.71, response time: 30.30ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 112, tps: 4654.92, reads: 65177.14, writes: 13965.95, response time: 39.64ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 112, tps: 3478.49, reads: 48731.95, writes: 10447.57, response time: 49.05ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 112, tps: 4235.99, reads: 59270.43, writes: 12694.26, response time: 44.33ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 112, tps: 4088.91, reads: 57243.97, writes: 12268.14, response time: 48.20ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 112, tps: 4040.11, reads: 56554.57, writes: 12118.94, response time: 48.84ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 112, tps: 4258.59, reads: 59624.19, writes: 12775.68, response time: 45.87ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 112, tps: 4165.61, reads: 58320.64, writes: 12496.73, response time: 46.27ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 112, tps: 4333.09, reads: 60656.24, writes: 12998.67, response time: 44.61ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 112, tps: 4291.00, reads: 60083.53, writes: 12873.81, response time: 45.12ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 112, tps: 4297.19, reads: 60155.31, writes: 12891.18, response time: 44.73ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 112, tps: 4359.50, reads: 61034.93, writes: 13079.51, response time: 43.72ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 112, tps: 4318.60, reads: 60461.67, writes: 12956.39, response time: 43.87ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 112, tps: 2872.90, reads: 40213.05, writes: 8617.31, response time: 190.56ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 4207.79, reads: 58905.82, writes: 12623.18, response time: 46.21ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 940.20, reads: 13224.25, writes: 2839.41, response time: 367.95ms (95%), errors: 0.00, reconnects:  0.00
