sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[  10s] threads: 112, tps: 6208.25, reads: 87022.64, writes: 18628.46, response time: 26.56ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 112, tps: 6319.50, reads: 88458.84, writes: 18957.41, response time: 26.24ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 112, tps: 6356.20, reads: 88986.08, writes: 19068.60, response time: 26.10ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 112, tps: 6373.90, reads: 89242.43, writes: 19120.71, response time: 26.18ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 112, tps: 6392.00, reads: 89483.59, writes: 19175.80, response time: 26.08ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 112, tps: 4883.90, reads: 68373.40, writes: 14652.30, response time: 26.57ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 112, tps: 4380.30, reads: 61336.60, writes: 13143.70, response time: 26.33ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 112, tps: 4282.90, reads: 59955.71, writes: 12846.50, response time: 26.43ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 112, tps: 4228.30, reads: 59195.68, writes: 12685.80, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 112, tps: 4203.00, reads: 58839.01, writes: 12608.50, response time: 26.54ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 112, tps: 4174.30, reads: 58442.80, writes: 12522.00, response time: 26.72ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 112, tps: 4123.90, reads: 57733.10, writes: 12373.20, response time: 26.71ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 112, tps: 3989.48, reads: 55909.46, writes: 11986.85, response time: 26.40ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 112, tps: 4025.52, reads: 56295.24, writes: 12056.35, response time: 27.91ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 112, tps: 3872.50, reads: 54217.90, writes: 11618.50, response time: 28.12ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 112, tps: 4670.20, reads: 65386.49, writes: 14010.60, response time: 26.90ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 112, tps: 6392.30, reads: 89492.52, writes: 19177.30, response time: 26.30ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 112, tps: 5874.28, reads: 82246.72, writes: 17622.04, response time: 32.03ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 112, tps: 2167.31, reads: 30391.28, writes: 6521.94, response time: 32.85ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 112, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 112, tps: 6214.82, reads: 86954.70, writes: 18623.16, response time: 26.44ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 112, tps: 6390.60, reads: 89454.20, writes: 19172.50, response time: 26.28ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 112, tps: 6375.70, reads: 89268.70, writes: 19127.10, response time: 26.35ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 112, tps: 1940.69, reads: 27227.79, writes: 5842.68, response time: 26.70ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 112, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 112, tps: 4817.80, reads: 67403.56, writes: 14434.39, response time: 26.47ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 112, tps: 6360.52, reads: 89038.11, writes: 19082.35, response time: 26.28ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 112, tps: 6356.00, reads: 88976.49, writes: 19066.00, response time: 26.36ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 112, tps: 6345.60, reads: 88840.71, writes: 19037.40, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 112, tps: 813.40, reads: 11447.45, writes: 2459.79, response time: 27.73ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 112, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 112, tps: 3668.89, reads: 51306.04, writes: 10987.07, response time: 26.70ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 112, tps: 6385.80, reads: 89407.12, writes: 19156.80, response time: 26.38ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 112, tps: 6371.10, reads: 89188.69, writes: 19112.70, response time: 26.42ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 112, tps: 6361.80, reads: 89066.79, writes: 19085.40, response time: 26.46ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 112, tps: 5311.68, reads: 74421.16, writes: 15955.85, response time: 32.60ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 112, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 112, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 112, tps: 3777.01, reads: 52834.30, writes: 11312.24, response time: 26.40ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 112, tps: 6353.50, reads: 88933.91, writes: 19060.50, response time: 26.32ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 112, tps: 5237.40, reads: 73325.47, writes: 15712.99, response time: 37.06ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 112, tps: 5900.00, reads: 82606.51, writes: 17700.20, response time: 30.03ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 112, tps: 3335.90, reads: 46712.11, writes: 10009.70, response time: 195.18ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 112, tps: 1488.50, reads: 20873.00, writes: 4479.70, response time: 276.71ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 112, tps: 4.30, reads: 67.30, writes: 14.50, response time: 234.35ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 3065.30, reads: 42859.15, writes: 9175.51, response time: 26.65ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 6354.60, reads: 88960.70, writes: 19063.00, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 5095.50, reads: 71343.91, writes: 15287.50, response time: 37.21ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 4526.70, reads: 63364.50, writes: 13579.50, response time: 40.51ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 2048.39, reads: 28738.23, writes: 6165.76, response time: 389.01ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 1174.00, reads: 16434.61, writes: 3521.40, response time: 438.50ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 966.00, reads: 13525.80, writes: 2898.80, response time: 496.05ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 491.00, reads: 6810.23, writes: 1452.61, response time: 49.71ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 4319.60, reads: 60472.28, writes: 12957.60, response time: 44.00ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 112, tps: 4200.50, reads: 58817.02, writes: 12603.80, response time: 47.10ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 112, tps: 4071.30, reads: 56996.40, writes: 12214.60, response time: 47.53ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 112, tps: 1878.99, reads: 26361.48, writes: 5655.17, response time: 377.54ms (95%), errors: 0.00, reconnects:  0.00
