sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 5
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 0
Threads started!

[  10s] threads: 5, tps: 498.70, reads: 6986.44, writes: 1496.29, response time: 11.31ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 5, tps: 505.90, reads: 7083.18, writes: 1517.70, response time: 10.96ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 5, tps: 497.20, reads: 6960.32, writes: 1491.41, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 5, tps: 499.70, reads: 6996.39, writes: 1499.20, response time: 11.70ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 5, tps: 499.30, reads: 6989.32, writes: 1497.80, response time: 11.52ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 5, tps: 505.50, reads: 7078.29, writes: 1516.70, response time: 11.02ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 5, tps: 513.30, reads: 7185.90, writes: 1539.90, response time: 10.65ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 5, tps: 500.70, reads: 7007.40, writes: 1501.90, response time: 11.61ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 5, tps: 496.20, reads: 6945.10, writes: 1488.60, response time: 11.70ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 5, tps: 494.90, reads: 6931.40, writes: 1484.70, response time: 11.68ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 5, tps: 497.50, reads: 6963.80, writes: 1492.70, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 5, tps: 500.50, reads: 7008.79, writes: 1501.50, response time: 11.58ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 5, tps: 495.10, reads: 6930.41, writes: 1485.10, response time: 11.68ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 5, tps: 494.20, reads: 6918.50, writes: 1482.60, response time: 11.73ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 5, tps: 483.60, reads: 6772.59, writes: 1451.00, response time: 12.17ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 5, tps: 494.10, reads: 6912.97, writes: 1482.09, response time: 11.84ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 5, tps: 496.00, reads: 6948.74, writes: 1488.41, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 5, tps: 497.30, reads: 6959.60, writes: 1491.50, response time: 11.60ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 5, tps: 497.10, reads: 6961.70, writes: 1491.30, response time: 11.65ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 5, tps: 497.40, reads: 6961.60, writes: 1492.40, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 5, tps: 497.70, reads: 6968.80, writes: 1493.10, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 5, tps: 497.20, reads: 6960.90, writes: 1491.40, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
